region	chr	midPos	Nsites
(216,1353)(70545,95036)(50000,100000)	JASDQU010010976.1	75000	1139	0.310043
(448,1684)(147712,148973)(100000,150000)	JASDQU010010977.1	125000	1238	0.006599
(25,552)(61272,86958)(50000,100000)	JASDQU010011012.1	75000	529	0.125898
(2140,2291)(114808,115109)(100000,150000)	JASDQU010011022.1	125000	153	0.122036
(438,1047)(50181,83737)(50000,100000)	JASDQU010011027.1	75000	611	0.007307
(489,801)(272017,272600)(250000,300000)	JASDQU010011044.1	275000	314	0.194411
(506,571)(56823,56899)(50000,100000)	JASDQU010011050.1	75000	67	0.148289
(593,1610)(59416,83548)(50000,100000)	JASDQU010011054.1	75000	1019	0.589390
(1611,1671)(245824,245908)(200000,250000)	JASDQU010011054.1	225000	62	0.883599
(959,1385)(170332,180711)(150000,200000)	JASDQU010011056.1	175000	428	0.655222
(420,538)(291631,291764)(250000,300000)	JASDQU010011088.1	275000	120	0.389884
(539,639)(342706,342807)(300000,350000)	JASDQU010011088.1	325000	102	0.374272
(780,1544)(302340,309274)(300000,350000)	JASDQU010011092.1	325000	766	0.267442
(1936,2095)(87765,87949)(50000,100000)	JASDQU010011112.1	75000	161	0.062479
(316,1229)(109831,124703)(100000,150000)	JASDQU010011116.1	125000	915	0.231557
(720,735)(50577,50594)(50000,100000)	JASDQU010011134.1	75000	17	0.055744
(157,1221)(246252,247331)(200000,250000)	JASDQU010011137.1	225000	1066	0.224118
(900,1008)(55395,55803)(50000,100000)	JASDQU010011159.1	75000	110	0.632061
(1874,1942)(194300,194369)(150000,200000)	JASDQU010011175.1	175000	70	0.109394
(636,1251)(156306,156953)(150000,200000)	JASDQU010011186.1	175000	617	0.186379
(304,572)(208173,208519)(200000,250000)	JASDQU010011208.1	225000	270	0.027558
(573,752)(349459,349644)(300000,350000)	JASDQU010011208.1	325000	181	0.399306
(656,1840)(123048,142549)(100000,150000)	JASDQU010011232.1	125000	1186	0.338455
(39,4457)(338712,343533)(300000,350000)	JASDQU010011246.1	325000	4420	0.482500
(221,288)(74113,74188)(50000,100000)	JASDQU010011254.1	75000	69	0.091858
(289,2310)(108512,142124)(100000,150000)	JASDQU010011254.1	125000	2023	0.451230
(2311,2390)(189307,189445)(150000,200000)	JASDQU010011254.1	175000	81	0.127307
(107,949)(55982,76392)(50000,100000)	JASDQU010011265.1	75000	844	0.310396
(289,1175)(198128,199021)(150000,200000)	JASDQU010011279.1	175000	888	0.260408
(47,739)(146321,147021)(100000,150000)	JASDQU010011285.1	125000	694	0.213250
(740,2011)(157591,158987)(150000,200000)	JASDQU010011285.1	175000	1273	0.236829
(1642,2516)(187072,187946)(150000,200000)	JASDQU010011294.1	175000	876	0.093254
(407,1833)(132364,133805)(100000,150000)	JASDQU010011299.1	125000	1428	0.598143
(1834,2424)(167361,197541)(150000,200000)	JASDQU010011299.1	175000	592	0.439475
(1252,1356)(150158,150293)(150000,200000)	JASDQU010011325.1	175000	106	0.171491
(847,1596)(154602,181752)(150000,200000)	JASDQU010011334.1	175000	751	0.048868
(185,1056)(143553,145051)(100000,150000)	JASDQU010011340.1	125000	873	0.034507
(47,104)(181766,181832)(150000,200000)	JASDQU010011388.1	175000	59	0.134926
(381,676)(96331,96698)(50000,100000)	JASDQU010011404.1	75000	297	0.050617
(677,1131)(394638,395100)(350000,400000)	JASDQU010011404.1	375000	456	0.317841
(1132,1236)(419100,426552)(400000,450000)	JASDQU010011404.1	425000	106	0.024321
(1237,1293)(452196,452254)(450000,500000)	JASDQU010011404.1	475000	58	0.096049
(637,3396)(251748,270765)(250000,300000)	JASDQU010011406.1	275000	2761	0.091056
(878,1794)(102323,132056)(100000,150000)	JASDQU010011412.1	125000	918	0.272247
(2213,6928)(75673,98902)(50000,100000)	JASDQU010011434.1	75000	4717	0.105191
(124,139)(61553,61578)(50000,100000)	JASDQU010011435.1	75000	17	0.001351
(918,1635)(210300,211026)(200000,250000)	JASDQU010011445.1	225000	719	0.293312
(1081,1606)(55977,56658)(50000,100000)	JASDQU010011454.1	75000	527	0.005610
(1607,1772)(145314,145479)(100000,150000)	JASDQU010011454.1	125000	167	0.037253
(1773,2047)(324277,347486)(300000,350000)	JASDQU010011454.1	325000	276	0.201221
(813,962)(75219,75398)(50000,100000)	JASDQU010011495.1	75000	151	0.495807
(921,1938)(98160,99325)(50000,100000)	JASDQU010011509.1	75000	1019	0.787405
(16,87)(279127,279204)(250000,300000)	JASDQU010011510.1	275000	73	0.061353
(1909,2027)(140759,140888)(100000,150000)	JASDQU010011523.1	125000	120	0.191417
(2040,2928)(200333,203252)(200000,250000)	JASDQU010011528.1	225000	890	0.729881
(29,606)(91798,92448)(50000,100000)	JASDQU010011550.1	75000	579	0.023125
(1976,4547)(106465,111677)(100000,150000)	JASDQU010011558.1	125000	2573	0.768379
(946,2594)(260576,265568)(250000,300000)	JASDQU010011594.1	275000	1650	0.272134
(391,1980)(277963,279567)(250000,300000)	JASDQU010011655.1	275000	1591	0.186784
(2014,2770)(206037,230658)(200000,250000)	JASDQU010011712.1	225000	758	0.338565
(1407,2961)(70956,90097)(50000,100000)	JASDQU010011713.1	75000	1556	0.304924
(2962,3149)(248933,249131)(200000,250000)	JASDQU010011713.1	225000	189	0.034188
(295,375)(50461,50565)(50000,100000)	JASDQU010011725.1	75000	82	0.068937
(476,776)(205264,205603)(200000,250000)	JASDQU010011735.1	225000	302	0.550435
(501,1659)(150475,168829)(150000,200000)	JASDQU010011737.1	175000	1160	0.100186
(221,1667)(236799,238362)(200000,250000)	JASDQU010011741.1	225000	1448	0.205595
(42,2346)(57544,90008)(50000,100000)	JASDQU010011755.1	75000	2306	0.078548
(2347,2488)(180406,180588)(150000,200000)	JASDQU010011755.1	175000	143	0.122366
(5,689)(110059,111130)(100000,150000)	JASDQU010011763.1	125000	686	0.053117
(746,4669)(250000,256995)(250000,300000)	JASDQU010011766.1	275000	3925	0.326743
(742,902)(95125,95289)(50000,100000)	JASDQU010011792.1	75000	162	0.040252
(84,999)(50284,54042)(50000,100000)	JASDQU010011811.1	75000	917	0.493128
(1401,2347)(184307,187785)(150000,200000)	JASDQU010011818.1	175000	948	0.147111
(146,495)(68462,69801)(50000,100000)	JASDQU010011822.1	75000	351	0.173817
(624,1471)(67730,68666)(50000,100000)	JASDQU010011849.1	75000	849	0.376080
(285,766)(217972,243918)(200000,250000)	JASDQU010011854.1	225000	483	0.054955
(767,1135)(257166,258118)(250000,300000)	JASDQU010011854.1	275000	370	0.072873
(211,446)(100657,100942)(100000,150000)	JASDQU010011859.1	125000	237	0.478434
(1304,1461)(236463,236823)(200000,250000)	JASDQU010011868.1	225000	159	0.077721
(152,526)(139600,140165)(100000,150000)	JASDQU010011895.1	125000	376	0.284559
(718,1047)(102008,133336)(100000,150000)	JASDQU010011928.1	125000	331	0.024480
(1562,1605)(174306,174365)(150000,200000)	JASDQU010011939.1	175000	45	0.077146
(99,121)(104424,104699)(100000,150000)	JASDQU010011941.1	125000	24	0.071678
(289,2508)(175415,192189)(150000,200000)	JASDQU010011946.1	175000	2221	0.200452
(130,642)(113208,113736)(100000,150000)	JASDQU010011954.1	125000	514	0.127417
(409,1524)(74031,82818)(50000,100000)	JASDQU010011990.1	75000	1117	0.535541
(1814,2657)(50000,50844)(50000,100000)	JASDQU010012037.1	75000	845	0.414970
(97,238)(52506,52650)(50000,100000)	JASDQU010012102.1	75000	143	0.024141
(158,2392)(114081,117552)(100000,150000)	JASDQU010012175.1	125000	2236	0.133660
(18,1586)(211410,212989)(200000,250000)	JASDQU010012204.1	225000	1570	0.464085
(358,677)(138535,138868)(100000,150000)	JASDQU010012216.1	125000	321	0.527274
(649,1211)(306661,307262)(300000,350000)	JASDQU010012224.1	325000	564	0.184299
(1212,1223)(356076,356090)(350000,400000)	JASDQU010012224.1	375000	13	0.056100
(360,1572)(148778,149999)(100000,150000)	JASDQU010012231.1	125000	1214	0.394165
(692,1483)(115170,124095)(100000,150000)	JASDQU010012247.1	125000	793	0.363586
(327,1224)(51543,84598)(50000,100000)	JASDQU010012267.1	75000	899	0.087339
(1312,1564)(60437,60921)(50000,100000)	JASDQU010012272.1	75000	254	0.038772
(34,40)(188705,188715)(150000,200000)	JASDQU010012284.1	175000	8	0.047023
(5063,6188)(51884,81798)(50000,100000)	JASDQU010012294.1	75000	1127	0.128352
(147,2880)(88146,91022)(50000,100000)	JASDQU010012295.1	75000	2735	0.235427
(407,1233)(107643,108482)(100000,150000)	JASDQU010012330.1	125000	828	0.139846
(1234,1245)(189639,189689)(150000,200000)	JASDQU010012330.1	175000	13	0.053181
(1246,4225)(443326,446929)(400000,450000)	JASDQU010012330.1	425000	2981	0.216425
(4226,4281)(499847,499909)(450000,500000)	JASDQU010012330.1	475000	57	0.055115
(225,1155)(161036,162008)(150000,200000)	JASDQU010012341.1	175000	932	0.648667
(84,429)(219453,219810)(200000,250000)	JASDQU010012357.1	225000	347	0.213658
(63,195)(53247,53380)(50000,100000)	JASDQU010012369.1	75000	134	0.034323
(1347,6806)(210775,235479)(200000,250000)	JASDQU010012376.1	225000	5461	0.072537
(252,306)(188982,189060)(150000,200000)	JASDQU010012402.1	175000	56	0.045735
(882,1674)(150000,165607)(150000,200000)	JASDQU010012403.1	175000	794	0.030877
(238,254)(158172,158190)(150000,200000)	JASDQU010012410.1	175000	18	0.070190
(159,262)(64301,64418)(50000,100000)	JASDQU010012418.1	75000	105	0.249481
(6,1073)(118935,121392)(100000,150000)	JASDQU010012424.1	125000	1069	0.478617
(893,1182)(284654,284966)(250000,300000)	JASDQU010012430.1	275000	291	0.246922
(1522,2923)(53420,80733)(50000,100000)	JASDQU010012433.1	75000	1403	0.127194
(2623,2962)(150000,174839)(150000,200000)	JASDQU010012436.1	175000	341	0.022353
(2963,5650)(244081,247028)(200000,250000)	JASDQU010012436.1	225000	2689	0.245126
(679,696)(128041,128071)(100000,150000)	JASDQU010012453.1	125000	19	0.066407
(779,1563)(168264,184633)(150000,200000)	JASDQU010012465.1	175000	786	0.020881
(358,1737)(81267,83952)(50000,100000)	JASDQU010012481.1	75000	1381	0.236522
(862,1348)(126854,127398)(100000,150000)	JASDQU010012496.1	125000	488	0.069239
(1349,1979)(162042,162706)(150000,200000)	JASDQU010012496.1	175000	632	0.140116
(398,2459)(120036,139712)(100000,150000)	JASDQU010012519.1	125000	2063	0.537293
(915,2310)(183684,185086)(150000,200000)	JASDQU010012534.1	175000	1397	0.219007
(2311,3122)(392656,393499)(350000,400000)	JASDQU010012534.1	375000	813	0.329438
(2106,2149)(91676,91740)(50000,100000)	JASDQU010012537.1	75000	45	0.041602
(234,1372)(56291,89667)(50000,100000)	JASDQU010012559.1	75000	1140	0.295816
(570,915)(145127,145527)(100000,150000)	JASDQU010012661.1	125000	347	0.253757
(1674,1701)(167144,167187)(150000,200000)	JASDQU010012676.1	175000	29	0.044420
(2238,4931)(50000,85707)(50000,100000)	JASDQU010012687.1	75000	2695	0.517544
(533,898)(231893,232388)(200000,250000)	JASDQU010012707.1	225000	367	0.038204
(540,1162)(163774,191494)(150000,200000)	JASDQU010012758.1	175000	624	0.244478
(478,864)(135352,135793)(100000,150000)	JASDQU010012783.1	125000	388	0.051088
(421,1787)(157288,190089)(150000,200000)	JASDQU010012785.1	175000	1368	0.139445
(1788,1933)(207769,207918)(200000,250000)	JASDQU010012785.1	225000	147	0.032281
(1884,1965)(100535,100623)(100000,150000)	JASDQU010012792.1	125000	83	0.163720
(1966,3192)(293964,295571)(250000,300000)	JASDQU010012792.1	275000	1228	0.124689
(1203,1208)(179242,179258)(150000,200000)	JASDQU010012806.1	175000	7	0.038206
(30,1876)(163557,196599)(150000,200000)	JASDQU010012815.1	175000	1848	0.099189
(7956,8585)(76016,76654)(50000,100000)	JASDQU010012840.1	75000	631	0.123318
(953,1111)(95216,95410)(50000,100000)	JASDQU010012843.1	75000	160	0.043017
(2689,2775)(131613,131837)(100000,150000)	JASDQU010012850.1	125000	88	-0.013774
(722,860)(199675,199813)(150000,200000)	JASDQU010012855.1	175000	140	0.064181
(369,1234)(115883,116754)(100000,150000)	JASDQU010012909.1	125000	867	0.821276
(1062,1230)(100000,100176)(100000,150000)	JASDQU010012914.1	125000	170	0.115926
(117,565)(320433,320902)(300000,350000)	JASDQU010012930.1	325000	450	0.373772
(1957,2861)(77381,78288)(50000,100000)	JASDQU010012940.1	75000	906	0.253540
(861,1277)(344177,344803)(300000,350000)	JASDQU010012943.1	325000	418	0.022719
(335,428)(77825,77940)(50000,100000)	JASDQU010012960.1	75000	95	0.031777
(97,211)(100228,100349)(100000,150000)	JASDQU010012973.1	125000	116	0.026493
(60,80)(153337,153393)(150000,200000)	JASDQU010012977.1	175000	22	0.009520
(445,1073)(102083,109627)(100000,150000)	JASDQU010013018.1	125000	630	0.014919
(1074,1074)(242847,242847)(200000,250000)	JASDQU010013018.1	225000	2	0.047271
(58,956)(194630,195536)(150000,200000)	JASDQU010013037.1	175000	900	0.248682
(4376,4929)(51010,51581)(50000,100000)	JASDQU010013045.1	75000	555	0.211015
(486,645)(156331,194240)(150000,200000)	JASDQU010013080.1	175000	161	0.049449
(62,749)(170675,196361)(150000,200000)	JASDQU010013107.1	175000	689	0.295945
(123,397)(110420,110786)(100000,150000)	JASDQU010013110.1	125000	276	0.021307
(1599,3704)(63507,69351)(50000,100000)	JASDQU010013151.1	75000	2107	0.238461
(845,3322)(55031,67481)(50000,100000)	JASDQU010013177.1	75000	2479	0.418898
(507,1358)(72285,79590)(50000,100000)	JASDQU010013212.1	75000	853	0.096127
(713,761)(99275,99323)(50000,100000)	JASDQU010013226.1	75000	50	0.094518
(98,1737)(153769,188616)(150000,200000)	JASDQU010013253.1	175000	1641	0.264782
(1103,1462)(183637,184646)(150000,200000)	JASDQU010013256.1	175000	361	0.079786
(211,777)(70813,79112)(50000,100000)	JASDQU010013259.1	75000	568	0.119805
(849,1967)(74974,81914)(50000,100000)	JASDQU010013271.1	75000	1120	0.665283
(1968,2259)(161802,162106)(150000,200000)	JASDQU010013271.1	175000	293	0.030406
(2260,2806)(219936,220505)(200000,250000)	JASDQU010013271.1	225000	548	0.660124
(2110,2345)(219772,220031)(200000,250000)	JASDQU010013272.1	225000	237	0.417800
(72,743)(117773,118595)(100000,150000)	JASDQU010013285.1	125000	673	0.431108
(1159,1249)(100411,100506)(100000,150000)	JASDQU010013294.1	125000	92	0.195937
(8,448)(198952,199466)(150000,200000)	JASDQU010013303.1	175000	442	0.283632
(1005,1155)(204212,204468)(200000,250000)	JASDQU010013311.1	225000	152	0.758731
(246,943)(63206,63906)(50000,100000)	JASDQU010013315.1	75000	699	0.472774
(334,821)(60516,61108)(50000,100000)	JASDQU010013319.1	75000	489	0.434269
(694,1208)(70034,70559)(50000,100000)	JASDQU010013326.1	75000	516	0.007813
(962,1459)(163331,163864)(150000,200000)	JASDQU010013330.1	175000	499	0.232373
(6,1067)(106435,107504)(100000,150000)	JASDQU010013332.1	125000	1063	0.251579
(2186,2370)(221874,222156)(200000,250000)	JASDQU010013353.1	225000	186	0.551924
(747,1488)(114446,115268)(100000,150000)	JASDQU010013361.1	125000	743	0.361762
(279,1175)(76944,97343)(50000,100000)	JASDQU010013423.1	75000	898	0.504690
(167,298)(499795,499999)(450000,500000)	JASDQU010013459.1	475000	133	0.248616
(760,1117)(56142,86584)(50000,100000)	JASDQU010013477.1	75000	359	0.660591
(1118,2110)(129204,145294)(100000,150000)	JASDQU010013477.1	125000	994	0.047496
(2111,3208)(168482,199999)(150000,200000)	JASDQU010013477.1	175000	1099	0.039606
(947,1272)(106796,107434)(100000,150000)	JASDQU010013500.1	125000	327	0.552811
(119,370)(100098,127011)(100000,150000)	JASDQU010013504.1	125000	253	0.060458
(371,776)(293065,293474)(250000,300000)	JASDQU010013504.1	275000	407	0.119915
(3496,3613)(94390,94518)(50000,100000)	JASDQU010013573.1	75000	119	0.138517
(295,428)(97375,97510)(50000,100000)	JASDQU010013607.1	75000	135	0.023456
(759,1490)(55276,89403)(50000,100000)	JASDQU010013629.1	75000	733	0.167916
(913,2059)(100272,103165)(100000,150000)	JASDQU010013654.1	125000	1148	0.243872
(363,2564)(184063,186961)(150000,200000)	JASDQU010013667.1	175000	2203	0.179710
(561,688)(116596,116723)(100000,150000)	JASDQU010013668.1	125000	129	0.042452
(2673,3306)(148517,149999)(100000,150000)	JASDQU010013693.1	125000	635	0.156664
(415,915)(86667,87468)(50000,100000)	JASDQU010013698.1	75000	502	-0.004078
(3280,4069)(150000,150789)(150000,200000)	JASDQU010013719.1	175000	791	0.135779
(93,2467)(203038,206705)(200000,250000)	JASDQU010013720.1	225000	2376	0.284770
(11,647)(81612,82312)(50000,100000)	JASDQU010013735.1	75000	638	0.289239
(4379,4419)(153062,153108)(150000,200000)	JASDQU010013740.1	175000	42	0.033185
(547,662)(150000,150118)(150000,200000)	JASDQU010013749.1	175000	117	0.025013
(313,1501)(80773,82407)(50000,100000)	JASDQU010013788.1	75000	1190	0.376783
(538,4787)(330277,336648)(300000,350000)	JASDQU010013845.1	325000	4251	0.057910
(2848,3851)(120028,121075)(100000,150000)	JASDQU010013892.1	125000	1005	0.347604
(2658,7980)(63678,80717)(50000,100000)	JASDQU010013931.1	75000	5324	0.508267
(983,1689)(52841,58329)(50000,100000)	JASDQU010013938.1	75000	708	0.013640
(1690,1770)(123238,123341)(100000,150000)	JASDQU010013938.1	125000	82	0.136554
(318,2055)(122896,124709)(100000,150000)	JASDQU010013956.1	125000	1739	0.640403
(101,783)(237186,237959)(200000,250000)	JASDQU010013969.1	225000	684	0.039314
(490,2574)(101686,108805)(100000,150000)	JASDQU010013986.1	125000	2086	0.405345
(444,1598)(69123,73555)(50000,100000)	JASDQU010013996.1	75000	1156	-0.008060
(671,823)(149401,149575)(100000,150000)	JASDQU010014056.1	125000	154	0.035065
(824,1072)(283828,284204)(250000,300000)	JASDQU010014056.1	275000	250	0.244094
(905,943)(127169,127327)(100000,150000)	JASDQU010014075.1	125000	40	0.041462
(944,1225)(298073,298425)(250000,300000)	JASDQU010014075.1	275000	283	0.126302
(11,188)(62307,62526)(50000,100000)	JASDQU010014087.1	75000	179	0.135961
(3208,3618)(100000,100519)(100000,150000)	JASDQU010014116.1	125000	412	0.545692
(646,2509)(61625,94378)(50000,100000)	JASDQU010014129.1	75000	1865	0.288981
(2510,2946)(156682,157126)(150000,200000)	JASDQU010014129.1	175000	438	0.281504
(503,770)(54368,54734)(50000,100000)	JASDQU010014170.1	75000	269	0.020446
(304,942)(255773,256456)(250000,300000)	JASDQU010014184.1	275000	640	0.036588
(481,4510)(50000,62482)(50000,100000)	JASDQU010014202.1	75000	4031	0.208365
(144,382)(385152,391169)(350000,400000)	JASDQU010014226.1	375000	240	0.001808
(147,179)(208403,208473)(200000,250000)	JASDQU010014230.1	225000	34	0.126143
(436,1382)(281680,292223)(250000,300000)	JASDQU010014236.1	275000	948	0.262116
(1383,1805)(315311,317893)(300000,350000)	JASDQU010014236.1	325000	424	0.127004
(464,728)(217126,217431)(200000,250000)	JASDQU010014249.1	225000	266	0.010418
(1278,1467)(168203,168431)(150000,200000)	JASDQU010014294.1	175000	191	0.286539
(925,1649)(156863,159610)(150000,200000)	JASDQU010014329.1	175000	726	0.007826
(1606,1675)(59570,59649)(50000,100000)	JASDQU010014331.1	75000	71	0.003518
(424,552)(50000,50128)(50000,100000)	JASDQU010014337.1	75000	130	0.009369
(151,2082)(78342,92135)(50000,100000)	JASDQU010014346.1	75000	1933	0.247070
(305,367)(137672,137735)(100000,150000)	JASDQU010014356.1	125000	64	0.179249
(1993,2285)(201307,201729)(200000,250000)	JASDQU010014358.1	225000	294	0.088123
(749,1108)(84908,85276)(50000,100000)	JASDQU010014364.1	75000	361	0.055787
(1109,2412)(159400,160981)(150000,200000)	JASDQU010014364.1	175000	1305	0.285857
(2413,2467)(229717,229788)(200000,250000)	JASDQU010014364.1	225000	56	0.404220
(457,2789)(106359,111771)(100000,150000)	JASDQU010014401.1	125000	2334	0.263120
(236,1024)(65776,66589)(50000,100000)	JASDQU010014404.1	75000	790	0.647150
(82,4760)(108492,121957)(100000,150000)	JASDQU010014418.1	125000	4680	0.397502
(343,1851)(157566,178786)(150000,200000)	JASDQU010014452.1	175000	1510	0.088662
(292,764)(68612,69172)(50000,100000)	JASDQU010014468.1	75000	474	0.039347
(562,922)(121999,141154)(100000,150000)	JASDQU010014488.1	125000	362	0.049511
